,Mean,Variance,Predictive model
0,[46.63810496],[38.31168188],[-0.14488609]
1,[43.79264349],[35.35004644],[0.40655428]
2,[41.27956484],[35.00987124],[0.35708225]
3,[18.89184018],[67.90603412],[-0.16445749]
4,[88.63836417],[44.81795467],[0.65373745]
5,[3.7438498],[73.04712561],[1.12799113]
6,[-2.83264998],[71.73904546],[2.63850002]
7,[89.92594016],[52.6581062],[1.04276332]
8,[72.7698441],[56.03323693],[3.01700259]
9,[50.47789759],[59.89755158],[2.44314855]
10,[51.1359431],[57.65925881],[1.24899917]
11,[68.51863977],[55.75681521],[2.98439472]
12,[60.46095951],[54.44945079],[4.35462131]
13,[30.48908741],[57.69892672],[5.89405163]
14,[61.56818879],[56.72344548],[6.84890904]
15,[59.87939387],[57.07023852],[7.1751061]
16,[41.96395835],[65.65543927],[7.574386]
17,[47.23591372],[65.44684893],[11.99678033]
18,[43.49100235],[66.02597508],[7.24385872]
19,[35.44114267],[66.01050542],[7.97438921]
20,[53.56668048],[59.25424972],[6.46804709]
21,[62.46189728],[60.68521183],[8.0848419]
22,[36.977562],[64.47622581],[12.86902737]
23,[60.39172584],[52.96921342],[18.86629231]
24,[40.10276389],[64.19348179],[13.67195476]
25,[67.98638613],[59.42451302],[16.32657921]
26,[83.68807464],[55.16789635],[16.64917877]
27,[101.48806554],[47.30553422],[24.3116711]
28,[61.36382039],[57.5574323],[30.50479141]
29,[50.49849727],[65.41323092],[17.1544687]
30,[97.67669648],[40.45671122],[35.35576398]
31,[108.85204477],[44.85161712],[30.48764005]
32,[175.64289692],[42.55497896],[41.99389902]
33,[164.77255732],[49.0533807],[6.553207]
34,[99.60010366],[54.02658551],[60.58084907]
35,[160.06634547],[42.80009786],[56.19201488]
36,[125.13261881],[48.72767016],[43.40192245]
37,[67.54004013],[63.24007973],[79.59097378]
38,[157.31661085],[46.58964078],[56.01407773]
39,[87.69600705],[48.10862289],[87.68535395]
40,[126.34906413],[47.77204586],[60.03377356]
41,[164.76984277],[34.112699],[80.89028134]
42,[217.05993204],[47.54791525],[50.89924289]
43,[120.00605117],[66.87245158],[134.48161049]
44,[203.97326535],[47.70229152],[147.5699626]
45,[246.0690568],[44.02588275],[148.72105626]
46,[259.5290344],[47.730743],[112.47117063]
47,[218.98710826],[56.58341487],[136.24944251]
48,[156.18546335],[48.7395071],[125.25302479]
49,[162.63042478],[55.64636329],[102.7651797]
50,[108.92121163],[71.77668524],[109.84039989]
51,[252.4829823],[46.4613441],[118.15214376]
52,[150.53798797],[56.80260214],[76.39781764]
53,[90.66503953],[72.85002739],[114.33722304]
54,[150.82242947],[59.88761612],[93.65766494]
55,[173.38913872],[47.25858609],[121.3914865]
56,[246.25427891],[49.01679418],[125.82322118]
57,[177.05660926],[63.56099031],[139.3884656]
58,[137.15475946],[45.58258446],[123.13907506]
59,[78.72311469],[75.78177267],[125.12879985]
60,[60.56943972],[82.50054782],[119.79680179]
61,[255.39036792],[42.07490653],[99.1923286]
62,[218.35525067],[55.11247553],[66.8518561]
63,[175.94152952],[61.1268494],[125.26760872]
64,[230.95551338],[55.03511418],[108.01606173]
65,[186.6591058],[62.14442472],[93.18653152]
66,[232.30306569],[57.80967579],[96.82856772]
67,[137.07612517],[56.45210336],[133.74778347]
68,[221.98015126],[52.31836006],[122.55656037]
69,[198.35176122],[55.47866796],[80.20046021]
70,[259.15872042],[52.32607598],[124.53023123]
71,[188.54786314],[47.4656145],[114.36908575]
72,[225.11103727],[57.14547855],[134.62260705]
73,[235.04922203],[50.96939889],[74.1067649]
74,[159.76863943],[64.70936627],[153.69332786]
75,[218.14595105],[57.56650289],[146.04429124]
76,[134.02344911],[68.48504943],[153.39723476]
77,[209.221302],[59.86504257],[129.47366356]
78,[196.60316086],[42.69617774],[113.69916997]
79,[219.39654262],[57.02837695],[146.18413773]
80,[124.07282326],[64.21313815],[97.22906502]
81,[249.28694855],[52.00542096],[195.82299744]
82,[238.78021576],[50.2144224],[147.24114777]
83,[176.21325006],[52.70125648],[111.33175009]
84,[104.11507218],[64.52030923],[147.09740462]
85,[184.41371994],[51.82296061],[79.88855997]
86,[242.32827801],[53.55636367],[134.71606993]
87,[148.56113278],[54.25303173],[148.15019185]
88,[187.95323865],[48.27691011],[116.62878897]
89,[147.91277513],[69.71832633],[113.81496358]
90,[228.79293538],[55.65651868],[154.89678238]
91,[152.94615284],[64.92752906],[80.22201779]
92,[209.468615],[38.3402472],[129.3497225]
93,[186.0931163],[45.26278554],[88.61503911]
94,[148.27976243],[55.94314939],[148.95812153]
95,[153.55127785],[56.95109103],[127.62692194]
