,Mean,Variance,Predictive model
0,[-11.49033472],[3.347884],[-0.18016497]
1,[-11.48563478],[3.07012468],[-0.24896401]
2,[-11.60018681],[3.08820803],[-0.2326741]
3,[-10.67686902],[3.43996056],[-0.47359533]
4,[-15.01614965],[3.96570652],[-0.420935]
5,[-8.74443343],[1.66833962],[-0.58514744]
6,[-8.72943854],[2.81649968],[-0.62505776]
7,[-5.05495177],[0.90002127],[-0.4384027]
8,[-15.97387039],[5.79478786],[-0.58478671]
9,[-15.97826802],[5.79127769],[-1.52171249]
10,[-16.28210313],[5.77458729],[-1.80759226]
11,[-5.05694902],[0.77421724],[-0.69532282]
12,[-16.21379594],[6.07536699],[-2.41918471]
13,[-16.97255136],[6.02649873],[-2.21333993]
14,[-17.34047224],[6.00102137],[-2.96549781]
15,[-4.41683816],[0.15550265],[-0.90799996]
16,[-4.263793],[0.772734],[-0.69663221]
17,[-16.6313325],[6.71962489],[-3.60001136]
18,[-3.98857737],[0.58260737],[-0.95113708]
19,[-16.63692114],[6.80269293],[-3.45437226]
20,[-3.77856697],[0.5169795],[-1.03721089]
21,[-16.42825927],[7.11695716],[-4.1150201]
22,[-3.64390493],[0.64731076],[-1.02449739]
23,[-3.74363146],[0.56623087],[-1.25876333]
24,[-17.41067354],[6.99186289],[-3.63285121]
25,[-3.40313481],[0.48670015],[-1.35248263]
26,[-3.21080035],[0.48409921],[-1.77880077]
27,[-13.44959992],[6.6501982],[-4.80972383]
28,[-2.66616292],[0.5000936],[-1.51555538]
29,[-3.30420414],[1.2648425],[-1.12390507]
30,[-14.45560818],[7.89745425],[-6.06495617]
31,[-15.17699391],[7.69742925],[-5.20445168]
32,[-3.2910861],[1.32083704],[-1.64455656]
33,[-8.17289762],[4.28966899],[-3.47655135]
34,[-3.15048494],[1.2552553],[-1.46503563]
35,[0.21490038],[2.76365139],[-5.92604217]
36,[-8.6935893],[6.60326939],[-8.30053914]
37,[-3.21701571],[1.28065519],[-2.13034402]
38,[-8.97577007],[6.78204184],[-6.04133326]
39,[-12.88562075],[7.85959547],[-7.68924483]
40,[-3.0382307],[1.14305793],[-2.66789167]
41,[-5.56777965],[4.34978902],[-5.19187121]
42,[-12.28904065],[7.47700705],[-9.4790425]
43,[-3.20108323],[1.07057706],[-3.06052547]
44,[-2.91701448],[1.04041226],[-3.32708823]
45,[-5.46957023],[5.92020712],[-8.62050654]
46,[-2.72837101],[1.00388954],[-3.04343565]
47,[-1.19533448],[0.54169666],[-3.20453129]
48,[-1.80158401],[0.28885001],[-2.62316781]
49,[-0.40743204],[1.33938963],[-5.08043617]
50,[-7.39334902],[6.23517474],[-6.5136269]
51,[-8.46326561],[7.02444312],[-8.52689607]
52,[-2.94612463],[0.98952385],[-3.0012359]
53,[-7.35589297],[5.26324397],[-6.57054471]
54,[-10.28305672],[7.47064101],[-8.67780624]
55,[-2.63730654],[1.00232393],[-3.34805359]
56,[-2.45908621],[0.98233758],[-3.16738716]
57,[-10.57684169],[7.32364931],[-7.87339118]
58,[-7.56763533],[4.81935495],[-3.74394869]
59,[-10.27580351],[6.44037284],[-8.64948081]
60,[-2.60811794],[0.98196125],[-3.35142287]
61,[-2.48247592],[0.9657836],[-3.14928232]
62,[-2.87245018],[0.97011945],[-2.90197049]
63,[-10.75153149],[7.10377764],[-10.70775485]
64,[-9.80925993],[7.05387262],[-8.61949056]
65,[-10.26939924],[6.90914656],[-7.18541194]
66,[-2.26275558],[0.91966098],[-2.9063435]
67,[-10.08882199],[7.16575861],[-9.54178576]
68,[-6.65440244],[3.75253792],[-4.06162273]
69,[-8.61994536],[5.30823038],[-6.5953151]
70,[-2.18895284],[0.84824167],[-3.22954834]
71,[-9.52627485],[6.43889848],[-7.5865145]
72,[-2.03278498],[0.84287562],[-2.9549107]
73,[-1.83310889],[0.87197585],[-3.15384609]
74,[-8.77944307],[5.05229507],[-5.6401979]
75,[-10.06675984],[7.29672867],[-10.8566772]
76,[-1.85357422],[0.88890662],[-3.32856168]
77,[-2.06223352],[0.86541487],[-2.67699758]
78,[-5.55137666],[3.69488468],[-5.97604483]
79,[-1.93283108],[0.83633174],[-2.52876123]
80,[-5.97131686],[3.74676525],[-5.0969654]
81,[-1.71307651],[0.81450457],[-2.93114528]
82,[-9.84243458],[6.20697175],[-8.63661071]
83,[-1.82167558],[0.80423049],[-2.72829895]
84,[-1.88023481],[0.81777621],[-2.55198023]
85,[-3.6910741],[1.79877186],[-3.12464814]
86,[-9.26764072],[5.70608365],[-7.95764619]
87,[-6.87135769],[3.74356079],[-5.27598788]
88,[-4.79362839],[3.46517675],[-6.57975307]
89,[-2.52056509],[0.80906666],[-2.80728572]
90,[-9.40422306],[6.8335362],[-10.61746116]
91,[-9.47156064],[7.07391196],[-11.68556585]
92,[-2.38917505],[0.81604253],[-3.34876751]
93,[-9.75883709],[6.97893024],[-11.36081911]
94,[-6.06543649],[3.33961861],[-5.32956498]
95,[-9.80045501],[6.93880829],[-10.70533556]
