,Mean,Variance,Predictive model
0,[-39.78580037],[65.90625201],[-0.26644899]
1,[-5.04712244],[32.3120787],[-0.33906995]
2,[-65.69614425],[48.16147583],[-1.6112089]
3,[-2.38590022],[17.87882142],[-0.3713197]
4,[-38.33723452],[26.25560147],[-2.79074949]
5,[-36.69182573],[29.65601478],[-0.96286314]
6,[-51.10019859],[36.37811509],[-5.01523902]
7,[-97.07721442],[55.45256194],[-5.66912485]
8,[-14.81391808],[20.70653463],[-0.82433643]
9,[-3.67196553],[11.74329245],[-0.85721515]
10,[-32.35844748],[24.31951764],[-6.72638479]
11,[-24.21909404],[21.09223898],[-0.73249815]
12,[-5.35667247],[9.91515603],[-3.27278983]
13,[-6.22902398],[8.65780365],[-8.60787085]
14,[-4.33883435],[4.73178395],[-1.21419775]
15,[-5.25220033],[4.8385137],[-1.32449411]
16,[-2.79957523],[3.34471702],[-0.75307788]
17,[-2.18643082],[2.61886959],[-0.96851909]
18,[-3.49660228],[2.97748954],[-0.68672051]
19,[-5.64254093],[3.79003663],[-2.64094771]
20,[-1.98921298],[1.61472745],[-1.32316786]
21,[-4.43773746],[3.22429305],[-2.07357964]
22,[-0.38367684],[0.79559472],[-1.3909408]
23,[-0.05222593],[0.82012648],[-1.39020832]
24,[-0.58631774],[0.43430796],[-0.86460866]
25,[-0.51026176],[0.54932401],[-1.17157091]
26,[-0.57244791],[0.2729345],[-0.58432011]
27,[-0.40840742],[0.25073051],[-0.59367321]
28,[-3.60662903],[1.80939407],[-0.]
29,[-0.82066995],[0.62651821],[-0.]
30,[-0.77944764],[0.51747223],[-0.]
31,[-0.44156604],[0.28573561],[-0.]
32,[-0.38310677],[0.24228469],[-0.]
33,[-0.43407474],[0.24340853],[-0.]
34,[-0.41196196],[0.22602127],[-0.]
35,[-0.42653534],[0.22480283],[-0.]
36,[-0.41117331],[0.2079778],[-0.]
37,[-0.38925586],[0.20219015],[-0.]
38,[-0.41104454],[0.20319021],[-0.]
39,[-0.39115292],[0.19293517],[-0.]
40,[-0.39088183],[0.18870973],[-0.]
41,[-0.41694706],[0.19469425],[-0.]
42,[-4.01615239],[1.59078945],[-0.]
43,[-0.40921802],[0.18763544],[-0.]
44,[-0.40215926],[0.1832342],[-0.]
45,[-0.41439143],[0.18707637],[-0.]
46,[-0.40451091],[0.17772701],[-0.]
47,[-0.4052839],[0.1768131],[-0.]
48,[-0.43409985],[0.1862038],[-0.]
49,[-0.40420027],[0.17336944],[-0.]
50,[-0.4153502],[0.17492391],[-0.]
51,[-0.41657551],[0.17337851],[-0.]
52,[-0.40069083],[0.16626701],[-0.]
53,[-0.40379847],[0.16641103],[-0.]
54,[-0.41966782],[0.17005884],[-0.]
55,[-0.3989711],[0.16107412],[-0.]
56,[-0.39929917],[0.16010147],[-0.]
57,[-0.4027445],[0.15994254],[-0.]
58,[-0.40254075],[0.15835526],[-0.]
59,[-0.40519828],[0.158066],[-0.]
60,[-0.40074566],[0.15487517],[-0.]
61,[-0.40446174],[0.1557042],[-0.]
62,[-0.40194243],[0.15269572],[-0.]
63,[-0.40865221],[0.15590504],[-0.]
64,[-0.39914784],[0.15026448],[-0.]
65,[-0.41032505],[0.15342576],[-0.]
66,[-0.40167603],[0.14883635],[-0.]
67,[-0.40044652],[0.14741648],[-0.]
68,[-0.39984891],[0.14708622],[-0.]
69,[-0.39877597],[0.14482623],[-0.]
70,[-0.42645037],[0.15370621],[-0.]
71,[-0.39890352],[0.14292338],[-0.]
72,[-0.42904861],[0.15242913],[-0.]
73,[-0.41859382],[0.14722581],[-0.]
74,[-0.39998427],[0.14101801],[-0.]
75,[-0.40391273],[0.14159791],[-0.]
76,[-0.40517177],[0.1408791],[-0.]
77,[-0.41489962],[0.14286343],[-0.]
78,[-0.41021675],[0.13985835],[-0.]
79,[-0.39881828],[0.1366531],[-0.]
80,[-0.39797192],[0.13534257],[-0.]
81,[-0.40044221],[0.13552351],[-0.]
82,[-0.39859475],[0.13425056],[-0.]
83,[-0.41322288],[0.13835015],[-0.]
84,[-0.40334196],[0.13389971],[-0.]
85,[-0.40398177],[0.1335111],[-0.]
86,[-0.41111438],[0.13338562],[-0.]
87,[-0.40146175],[0.1317912],[-0.]
88,[-0.41215224],[0.13296705],[-0.]
89,[-0.40388895],[0.13107928],[-0.]
90,[-0.39850082],[0.12876758],[-0.]
91,[-0.3991074],[0.12830374],[-0.]
92,[-0.39896491],[0.12753725],[-0.]
93,[-0.39907009],[0.12706368],[-0.]
94,[-0.39876647],[0.12614432],[-0.]
95,[-0.39809987],[0.12538688],[-0.]
