,Mean,Variance,Predictive model
0,[-6175.53301821],[53367.80675192],[-1358.99284829]
1,[11294.09194246],[35459.4524578],[-1305.72071176]
2,[-6077.57676923],[22881.8929005],[-762.62325408]
3,[-506.47785705],[26509.32536699],[-6993.29630032]
4,[15968.10473315],[14651.8533513],[-644.45095442]
5,[-7071.00989767],[17496.83825691],[-1657.75965764]
6,[-7600.23336374],[12470.86223128],[-996.11458816]
7,[3528.58030868],[9220.75300465],[-544.86132948]
8,[-262285.07361194],[78081.2540449],[-7472.41146606]
9,[-12449.55517897],[17212.70770818],[-7705.5734189]
10,[7528.78584757],[9932.91062663],[-1418.95476656]
11,[2580.35034928],[11134.063818],[-2161.68145315]
12,[-7546.73354177],[10145.10864798],[-6774.93961836]
13,[-3915.44995856],[8358.68574856],[-1105.02202079]
14,[-418.72732753],[8531.31799205],[-753.55730949]
15,[-667.92655951],[7616.45753301],[-980.38545151]
16,[-2027.48637931],[7281.99727019],[-1696.55756946]
17,[-4630.4934642],[7214.20284611],[-1616.31628213]
18,[-9594.52087601],[9138.04027423],[-2549.14881025]
19,[-58336.5985567],[24298.92902134],[-22076.57884361]
20,[-6247.6602615],[9580.76553845],[-9981.76412589]
21,[3137.73270621],[6871.36775095],[-3180.66513574]
22,[-10274.0979294],[9319.25176936],[-5484.36294111]
23,[-6222.4084204],[6110.23087862],[-5205.4554166]
24,[61.65012046],[4482.27999938],[-3441.49390366]
25,[3325.39599613],[14643.41888724],[-2531.21970606]
26,[-22258.49075676],[10244.95021022],[-5611.05682462]
27,[-1047.81847956],[5037.3466205],[-3529.12651881]
28,[-609.07330878],[4129.40544491],[-3385.79490997]
29,[5694.39830386],[5321.58682748],[-3558.04206163]
30,[-58668.95712977],[18680.0023732],[-8547.74834995]
31,[-3768.8105173],[5250.19932622],[-5881.5394677]
32,[-836.06182976],[3731.35446072],[-3116.60689216]
33,[237.31249462],[3725.40556449],[-4226.15493061]
34,[19.46671809],[3335.7056345],[-4163.28544796]
35,[-2074.20294974],[3556.42283163],[-3944.85341299]
36,[-7712.58180062],[4517.15189702],[-4962.37663768]
37,[-500.11395871],[3033.29536225],[-3435.21041326]
38,[96.79606439],[2807.6510538],[-3151.76821978]
39,[-1020.04132884],[3176.6630429],[-3399.64350635]
40,[-7915.60866298],[5339.78903813],[-7252.24777931]
41,[-2754.77932212],[3957.25134069],[-4492.15724374]
42,[-2135.38081236],[3150.74956956],[-4323.24362275]
43,[-3101.19418391],[2907.76393224],[-3759.08170566]
44,[-2515.316695],[2492.33672852],[-4143.44182082]
45,[-9635.77217784],[4453.87593669],[-8245.11330095]
46,[-2697.45022062],[2283.78801671],[-5086.23584316]
47,[-3087.99276555],[2015.06031341],[-4239.8306924]
48,[-11549.80267101],[4856.9329452],[-6391.14709684]
49,[-120.29220757],[1385.47204998],[-4070.38994016]
50,[-6054.54691924],[3002.02965122],[-5365.12173615]
51,[-523.14691583],[1249.75296313],[-4201.55649017]
52,[-5022.46712942],[2257.09256553],[-5384.39539821]
53,[-4481.76397111],[1985.05515048],[-4516.14545546]
54,[-571.72643643],[913.65307673],[-5587.49794469]
55,[-268.75230071],[959.29072324],[-4029.31404018]
56,[-1270.0374089],[1176.69509152],[-4573.85557324]
57,[54.14355339],[824.26098277],[-4443.01037963]
58,[-2653.99962694],[1298.65065889],[-4245.62657541]
59,[-871.56892787],[785.20698049],[-4045.08435176]
60,[-291.37700733],[691.22399297],[-4329.55214372]
61,[-825.44455378],[828.88749874],[-4042.27671719]
62,[-1697.39794985],[1035.41164567],[-4429.9197409]
63,[-1063.63809965],[819.68465104],[-3221.99875215]
64,[-261.82771888],[686.731589],[-3636.14895]
65,[-995.02821987],[748.7893136],[-3178.22069354]
66,[-26.41619818],[514.33545653],[-3557.78754722]
67,[-788.68960986],[752.06064672],[-4478.35034652]
68,[-1.99206585],[498.91364624],[-3704.53177888]
69,[-392.82023389],[561.85455803],[-3546.00020197]
70,[-2209.9295921],[893.49558679],[-3563.47623958]
71,[-1.3235188],[459.67592028],[-3556.37671817]
72,[-908.24416674],[662.50102832],[-3720.36370107]
73,[-2213.06261017],[992.7139568],[-3729.3022677]
74,[-693.7475732],[646.60664231],[-2995.94735626]
75,[-2216.31384898],[1033.93333711],[-3912.06309035]
76,[-90.2753023],[460.07188054],[-2993.66628725]
77,[-129.03734647],[430.54713024],[-2659.80120957]
78,[-309.30697178],[442.65578079],[-3111.31359736]
79,[-15.44661843],[429.51995207],[-2786.24528092]
80,[164.98511351],[388.85078512],[-3028.95662389]
81,[-483.34424111],[504.78723919],[-2960.13851793]
82,[-65.45862299],[388.42250521],[-2822.31852249]
83,[-931.30550395],[584.55342159],[-2623.29534561]
84,[-306.8714914],[431.30402001],[-2741.35688429]
85,[-196.53344574],[451.69438123],[-2808.65931923]
86,[-745.92611079],[545.20078708],[-2474.77054114]
87,[-60.00270591],[382.47852251],[-2197.07257514]
88,[-13.01177035],[380.38362729],[-3021.52181828]
89,[-209.08075512],[421.12839364],[-2459.33717754]
90,[79.94527905],[348.29084386],[-2065.91082953]
91,[26.38623278],[356.50720452],[-2058.43080465]
92,[-425.43987089],[431.53571965],[-2527.34079847]
93,[-229.93748986],[393.79247143],[-2094.28926524]
94,[-55.87726159],[369.9349223],[-2900.45062262]
95,[-58.04744929],[358.29528527],[-2401.43652449]
