,Mean,Variance,Predictive model
0,[219.96955757],[222.28069961],[0.]
1,[125.41312416],[231.19305354],[-0.]
2,[263.63697883],[174.11446331],[0.]
3,[136.38646439],[203.3251636],[0.]
4,[372.13107761],[169.88901207],[0.]
5,[411.75067307],[219.3537124],[0.]
6,[199.65183198],[269.40721067],[0.]
7,[351.69943365],[240.47637812],[-0.]
8,[475.36924014],[146.92582213],[0.]
9,[457.02075992],[158.29191395],[0.]
10,[492.06751742],[211.96243011],[0.]
11,[492.06715919],[211.96266335],[0.]
12,[235.73244015],[313.7990656],[0.]
13,[306.89056657],[308.07465428],[0.]
14,[547.85972158],[268.35240806],[0.]
15,[560.48824385],[271.98326476],[0.]
16,[547.39949136],[267.59756249],[0.]
17,[461.44596144],[277.2116002],[0.]
18,[404.72415051],[303.73789101],[0.]
19,[340.68587624],[307.47180223],[0.]
20,[760.76532469],[146.63601711],[0.]
21,[297.7540658],[332.86422831],[-0.]
22,[397.8168651],[319.02769952],[0.]
23,[428.13388345],[312.01433013],[0.]
24,[384.32341098],[313.2940482],[0.]
25,[561.40477838],[284.81638728],[0.]
26,[665.48867122],[204.9024846],[0.]
27,[333.16884851],[338.2099741],[0.]
28,[330.46652239],[337.33252386],[0.]
29,[325.45849935],[334.97262836],[0.]
30,[286.19501898],[345.65015186],[0.]
31,[266.56978419],[361.67153915],[-0.]
32,[284.94673498],[351.45255809],[0.]
33,[576.79882984],[324.5013172],[0.]
34,[555.54781069],[290.42343951],[0.]
35,[284.90891894],[364.23506398],[-0.]
36,[527.62204809],[318.81853845],[0.]
37,[738.06547841],[190.27274263],[0.]
38,[298.06554824],[366.90111831],[-0.]
39,[274.92303489],[385.39463609],[-0.]
40,[252.80862291],[406.82538728],[-0.]
41,[238.49279231],[405.19648076],[-0.]
42,[229.51193999],[401.71476393],[0.]
43,[229.7957097],[397.88076509],[-0.]
44,[222.47714077],[394.8816671],[0.]
45,[294.98804476],[365.75588368],[0.]
46,[216.28162585],[393.41135827],[-0.]
47,[201.78830801],[393.87950512],[-0.]
48,[273.5779962],[364.55954701],[0.]
49,[187.05749965],[394.33798365],[0.]
50,[316.37068399],[340.45025977],[0.]
51,[181.65667864],[388.70179171],[-0.]
52,[226.849632],[367.74474111],[0.]
53,[176.24502077],[382.99794395],[-0.]
54,[707.02172056],[176.63918774],[0.]
55,[159.304106],[390.62493433],[-0.]
56,[179.65670822],[379.20748087],[0.]
57,[314.21279242],[336.06096196],[0.]
58,[124.78569615],[392.04324911],[-0.]
59,[158.1286189],[375.3338826],[-0.]
60,[724.96361245],[150.53029143],[0.]
61,[354.56019224],[293.24812471],[0.]
62,[169.04506882],[356.29425794],[0.]
63,[304.12003338],[326.81456699],[0.]
64,[363.1134958],[280.38696042],[0.]
65,[131.2891767],[365.82096539],[0.]
66,[101.20842753],[374.73432044],[-0.]
67,[116.40757403],[366.71594285],[0.]
68,[104.2966537],[366.96826779],[-0.]
69,[375.24281094],[260.40236325],[0.]
70,[412.02778121],[262.98188242],[0.]
71,[574.28443683],[189.59758093],[0.]
72,[117.42153391],[358.95394416],[-0.]
73,[92.91430041],[366.0464055],[-0.]
74,[595.76484727],[166.47838446],[0.]
75,[104.15819424],[350.25848979],[0.]
76,[67.15538585],[363.2583698],[-0.]
77,[517.02478001],[181.99209107],[0.]
78,[33.82126462],[363.69659896],[-0.]
79,[512.55123898],[181.96262241],[0.]
80,[729.41130822],[96.31281775],[0.]
81,[7.55303295],[366.7330415],[-0.]
82,[151.9897422],[301.30369492],[0.]
83,[217.27781052],[274.24039406],[0.]
84,[801.55667456],[47.96038745],[0.]
85,[723.13051051],[67.808477],[0.]
86,[-39.7509397],[361.43157978],[-0.]
87,[810.10601678],[34.96363743],[0.]
88,[594.27729263],[247.37652292],[0.]
89,[799.88089472],[37.66640352],[0.]
90,[560.50116906],[250.93617339],[0.]
91,[624.53798543],[330.35165812],[0.]
92,[751.42747762],[47.18830405],[0.]
93,[12.6106449],[330.65939529],[-0.]
94,[744.77709911],[50.79510088],[0.]
95,[813.67913379],[19.49649747],[0.]
