,Mean,Variance,Predictive model
0,[991.27520193],[1532.92132859],[-11.73770277]
1,[1238.52074448],[969.96181153],[-36.54691892]
2,[-2132.47826257],[2253.65668839],[-13.32185093]
3,[-4133.56384803],[2495.33738467],[-8.1544509]
4,[-103.67012688],[421.78863154],[-16.97891623]
5,[-28.47355316],[371.78665899],[-13.16179119]
6,[-207.06010195],[319.75029892],[-16.88212523]
7,[-99.18674713],[249.70594455],[-11.96585051]
8,[-73.30592792],[225.91032283],[-5.84636919]
9,[-56.27437472],[210.75622294],[-4.21587959]
10,[-48.60251452],[200.62862604],[-2.350794]
11,[-43.62687857],[192.91479355],[-4.59339249]
12,[-40.09142976],[186.22225822],[-5.27565564]
13,[-41.65755935],[181.29325702],[-6.09036845]
14,[-55.89864397],[175.93250125],[-11.75135002]
15,[-51.55633153],[171.31881571],[-7.03588618]
16,[-49.00500028],[167.40318299],[-8.49624939]
17,[-46.04343458],[163.53207143],[-7.68896293]
18,[-46.42206711],[160.48057444],[-6.02881983]
19,[-50.44068413],[159.24156239],[-12.27943137]
20,[-45.56924059],[155.42103866],[-7.87507715]
21,[-40.49422355],[151.64643626],[-11.39322384]
22,[-38.95767842],[148.65882972],[-7.87643652]
23,[-38.80843248],[146.24034081],[-11.44908062]
24,[-37.2852492],[143.80758534],[-8.98701656]
25,[-35.95582721],[141.7562936],[-9.82082438]
26,[-38.35158308],[140.94883253],[-11.56310818]
27,[-34.10049479],[137.77720484],[-12.0199672]
28,[-33.26204412],[135.52927135],[-14.78419499]
29,[-39.05431272],[136.13943239],[-11.46802805]
30,[-31.95968611],[132.35508141],[-12.96014185]
31,[-30.9843812],[130.22361806],[-15.43136032]
32,[-30.50226302],[128.7737065],[-15.31763063]
33,[-30.29230222],[127.35441352],[-15.91052003]
34,[-34.54626564],[125.96807778],[-14.14243248]
35,[-30.79064242],[124.03472903],[-18.16639943]
36,[-36.50320473],[125.40784762],[-17.69960879]
37,[-28.73747662],[121.75035748],[-20.96065418]
38,[-29.44056475],[120.94237213],[-20.14733392]
39,[-28.67288908],[119.56889045],[-0.]
40,[1773.42837523],[7384.63675609],[-0.]
41,[-11639.15268274],[29653.6550381],[-0.]
42,[-25175.03737418],[21883.56941873],[-0.]
43,[-3499.55794735],[11512.92072444],[-0.]
44,[-12494.46325601],[14137.36260444],[-0.]
45,[-15858.23564027],[14054.44665083],[-0.]
46,[-1103.99918781],[24361.14792126],[-0.]
47,[-24765.12549708],[31020.17336244],[-0.]
48,[-34648.26639338],[31709.03044262],[-0.]
49,[-12644.94831799],[22128.12391958],[-0.]
50,[8684.72695579],[11114.76216369],[-0.]
51,[-1913.29645452],[14577.80909978],[-0.]
52,[4303.49076075],[10193.85382453],[-0.]
53,[2911.51272556],[10751.41175725],[-0.]
54,[-10736.63179734],[13392.73130859],[-0.]
55,[-39768.22809105],[24429.88881711],[-0.]
56,[-30065.5870746],[20660.45211064],[-0.]
57,[2687.60030906],[8439.19038092],[-0.]
58,[-5678.51030452],[11182.1996414],[-0.]
59,[494.57953211],[7598.05766016],[-0.]
60,[-7135.93074455],[10031.08005852],[-0.]
61,[-10007.90731722],[28067.99926513],[-0.]
62,[-19285.66586174],[27308.04053995],[-0.]
63,[-6280.11832377],[19875.80290586],[-0.]
64,[3487.24190053],[17469.06644055],[-0.]
65,[-15386.6750455],[20726.3289084],[-0.]
66,[-19372.54802767],[22075.82820354],[-0.]
67,[-25393.68885823],[23680.66553369],[-0.]
68,[14779.68420186],[7708.01046079],[-0.]
69,[-6944.29067075],[16286.07180484],[-0.]
70,[-156.50024991],[14549.40502446],[-0.]
71,[-19279.04537158],[20663.58641599],[-0.]
72,[-318.05211009],[11563.20230788],[-0.]
73,[4164.86163167],[10127.72519795],[-0.]
74,[2723.58874797],[9983.09429897],[-0.]
75,[-6192.84646135],[12860.69963081],[-0.]
76,[-43190.18537187],[26163.29804217],[-0.]
77,[1734.15746273],[24551.08164709],[-0.]
78,[11499.3473286],[19173.03938528],[-0.]
79,[-18770.96047979],[26578.45825324],[-0.]
80,[-13110.41130112],[22806.00713988],[-0.]
81,[-12425.20542594],[17711.712241],[-0.]
82,[669.81861844],[11945.67397289],[-0.]
83,[-6718.09492948],[13973.89625595],[-0.]
84,[-1460.50348383],[11724.52551381],[-0.]
85,[702.62130044],[10331.57147454],[-0.]
86,[-3134.10232944],[11299.65473989],[-0.]
87,[-8143.2583063],[12854.5428361],[-0.]
88,[-727.51806858],[9698.72318035],[-0.]
89,[-1665.79430084],[9533.44993737],[-0.]
90,[-12413.31573829],[13145.15954819],[-0.]
91,[854.3118403],[7990.65104336],[-0.]
92,[-13359.31196798],[13524.63742932],[-0.]
93,[-299.94472824],[8299.83487815],[-0.]
94,[-1500.62878824],[8202.30958489],[-0.]
95,[-1765.56454884],[7774.95663741],[-0.]
