,Mean,Variance,Predictive model
0,[0.47122815],[0.17085536],[0.00510026]
1,[0.46840283],[0.17440886],[0.0042402]
2,[1.00767275],[0.1939214],[0.0073618]
3,[0.89154644],[0.21100082],[0.01804215]
4,[1.01810098],[0.10962972],[0.02680691]
5,[0.26928744],[0.30266611],[0.02654192]
6,[0.94973348],[0.18177988],[0.01875555]
7,[0.24228012],[0.29230514],[0.03970672]
8,[0.90478252],[0.16643851],[0.01489864]
9,[0.99616798],[0.14035754],[0.02186561]
10,[1.18247728],[0.18792083],[0.02529174]
11,[1.07028598],[0.24416968],[0.05763049]
12,[1.10097374],[0.23714686],[0.07640998]
13,[1.11917586],[0.21206266],[0.02404265]
14,[1.1497712],[0.29784834],[0.13782297]
15,[1.25740268],[0.1908087],[0.13056428]
16,[1.44376317],[0.18314528],[0.10116967]
17,[1.1522585],[0.27953444],[0.12072994]
18,[0.38160105],[0.39499958],[0.20717666]
19,[1.04603219],[0.27222308],[0.19629158]
20,[1.29560447],[0.23230894],[0.19851869]
21,[1.26364003],[0.25635819],[0.20155741]
22,[1.25263006],[0.28061946],[0.16299915]
23,[1.13080286],[0.29878429],[0.18726457]
24,[1.42287114],[0.29446661],[0.42361253]
25,[1.55161104],[0.28388746],[0.30049927]
26,[2.31426331],[0.30376029],[0.67335002]
27,[2.52191748],[0.28138812],[0.42390815]
28,[2.69096525],[0.30764856],[1.05027119]
29,[2.60016792],[0.3665005],[1.17544113]
30,[2.52544936],[0.34790731],[1.31409522]
31,[2.29429503],[0.34804056],[0.87354262]
32,[2.41078056],[0.15745378],[1.00256046]
33,[2.6816313],[0.17303176],[0.9321641]
34,[2.88893504],[0.05801027],[1.27729131]
35,[2.88147725],[0.06151056],[1.56654188]
36,[2.78536832],[0.10003798],[1.72840021]
37,[2.70904165],[0.05863627],[1.75407055]
38,[2.81719049],[0.09675341],[1.85447083]
39,[2.97592203],[0.0816174],[2.07303]
40,[2.9785611],[0.04051626],[2.05058866]
41,[2.98319089],[0.02149103],[2.41214847]
42,[2.96500401],[0.01269186],[2.58561957]
43,[2.36681804],[0.13957997],[2.50272299]
44,[2.82900105],[0.05513226],[2.56865832]
45,[3.114342],[0.04515112],[2.77662651]
46,[3.13289462],[0.04179601],[2.97151084]
47,[2.78708104],[0.0559545],[2.88640164]
48,[3.05116346],[0.03127923],[2.79103589]
49,[2.86266783],[0.02926151],[2.76443649]
50,[0.60658087],[1.03101569],[2.22702548]
51,[2.87018934],[0.04269373],[3.00273623]
52,[2.90305295],[0.0125465],[2.97893671]
53,[2.68733464],[0.05044569],[2.87704291]
54,[2.53852874],[0.11873832],[2.74760738]
55,[2.3763396],[0.10072932],[2.61990267]
56,[2.76111754],[0.03613623],[2.48435149]
57,[3.09359329],[0.02175361],[2.83314971]
58,[2.55345831],[0.06804479],[2.61445426]
59,[3.20321749],[0.01595025],[2.97149618]
60,[2.54467702],[0.0333201],[2.69130765]
61,[2.52370626],[0.03724026],[2.80297946]
62,[2.85154717],[0.07838109],[2.21765481]
63,[2.86137541],[0.03784216],[2.62713988]
64,[2.49409311],[0.23868135],[2.5211224]
65,[2.72038874],[0.04579022],[2.79734836]
66,[2.98305036],[0.02230441],[2.87980057]
67,[2.81464129],[0.05340773],[2.68034466]
68,[3.10039131],[0.01587134],[2.91981168]
69,[2.79341197],[0.04497074],[2.80425368]
70,[2.8992762],[0.06100821],[2.92158552]
71,[3.03063219],[0.03351041],[2.95495578]
72,[3.07396154],[0.01410681],[2.8337214]
73,[2.67405858],[0.04641581],[2.83434743]
74,[2.71814686],[0.05305465],[2.83633612]
75,[3.1731799],[0.00854147],[2.84697635]
76,[2.98280244],[0.01857694],[2.92227387]
77,[2.81061679],[0.02930146],[2.96840633]
78,[3.06040272],[0.01268642],[2.86108645]
79,[2.99936436],[0.02682427],[3.00833697]
80,[2.87580518],[0.03087191],[2.84775736]
81,[2.88968981],[0.02904467],[2.73173777]
82,[3.00853409],[0.01113451],[2.95115147]
83,[3.18188119],[0.00611668],[2.97478611]
84,[2.59269946],[0.03817371],[2.85401743]
85,[2.99349397],[0.01413516],[2.93863245]
86,[3.02795641],[0.01003322],[2.9819935]
87,[3.0327491],[0.00898048],[2.87343642]
88,[3.07136166],[0.01208782],[2.95258067]
89,[2.81326043],[0.01870128],[2.90464733]
90,[2.71108911],[0.03282189],[2.82463839]
91,[2.84165392],[0.02218233],[2.87754832]
92,[3.05748087],[0.01026762],[2.80661778]
93,[3.10414105],[0.00888043],[2.95893313]
94,[3.07140683],[0.00777894],[2.99601751]
95,[2.89691245],[0.00914858],[2.89911967]
