,Mean,Variance,Predictive model
0,[0.80983007],[0.51758082],[0.01421062]
1,[0.82407933],[0.49287758],[0.01934617]
2,[0.78390906],[0.48682052],[0.02564943]
3,[0.74347739],[0.48499025],[0.03212349]
4,[1.09175768],[0.43507394],[0.02172423]
5,[1.40412366],[0.33986716],[0.04517936]
6,[1.41652202],[0.34046512],[0.04561718]
7,[1.42692844],[0.33500557],[0.06281927]
8,[1.42278949],[0.3380291],[0.05517736]
9,[1.27132663],[0.35829718],[0.0638512]
10,[1.49734134],[0.25437375],[0.07254627]
11,[1.21758783],[0.34715795],[0.05181163]
12,[1.43831394],[0.30785387],[0.13224548]
13,[2.5523661],[0.28389513],[0.27677202]
14,[2.42999771],[0.34698091],[0.30250245]
15,[2.58064559],[0.33329926],[0.23152697]
16,[2.29464662],[0.3943846],[0.21257237]
17,[2.52027009],[0.32403366],[0.40592324]
18,[2.13790115],[0.45412048],[0.25758529]
19,[2.41371396],[0.37216094],[0.48959677]
20,[2.43026142],[0.36299147],[0.45681552]
21,[1.90650553],[0.48233562],[0.4470898]
22,[2.73696252],[0.13003845],[0.47404061]
23,[2.74691551],[0.28973384],[0.51553399]
24,[2.62335802],[0.27633939],[0.55847869]
25,[2.50816159],[0.33767556],[0.4041904]
26,[2.46648622],[0.36392018],[0.62263014]
27,[2.18743314],[0.40026494],[0.59053137]
28,[1.6908905],[0.40843438],[0.72372827]
29,[2.32577432],[0.36678285],[0.89830639]
30,[2.00367517],[0.32127942],[0.8408946]
31,[2.61743808],[0.30885298],[0.83732986]
32,[1.65202454],[0.53197574],[0.90382056]
33,[2.17330668],[0.40852223],[0.78732237]
34,[2.50597502],[0.38430329],[0.93107179]
35,[2.17877721],[0.21988142],[1.20951341]
36,[1.9819893],[0.47875757],[0.79403821]
37,[1.70572594],[0.48687532],[1.09399516]
38,[2.46419342],[0.40137596],[1.216092]
39,[1.96584162],[0.4071263],[1.06653184]
40,[1.47321546],[0.56678579],[1.37206349]
41,[1.87969744],[0.45993113],[1.08857506]
42,[2.53884736],[0.39771931],[1.06366419]
43,[1.35995035],[0.55322522],[1.47992756]
44,[1.34576976],[0.56104618],[1.68373531]
45,[1.2021036],[0.58881518],[1.72327929]
46,[1.87671466],[0.45945669],[1.39422429]
47,[1.89292026],[0.44248234],[1.55768668]
48,[1.04970421],[0.578394],[1.72314903]
49,[2.04837681],[0.37431117],[1.34257919]
50,[1.06686315],[0.59009711],[1.81905863]
51,[1.90896909],[0.43591515],[1.46329231]
52,[2.00940259],[0.44411485],[1.09715963]
53,[1.82975064],[0.49691884],[1.19889704]
54,[1.02261489],[0.58445981],[1.53784001]
55,[1.40783785],[0.56613391],[1.45646538]
56,[2.48639401],[0.35611995],[1.38907738]
57,[1.93198739],[0.4546191],[1.55788599]
58,[2.05620521],[0.40318811],[1.76975159]
59,[2.48894137],[0.3778066],[1.54633912]
60,[2.55201553],[0.22327385],[1.52772758]
61,[1.75499709],[0.56072047],[1.99644238]
62,[2.12112553],[0.50839849],[1.64162723]
63,[2.01631014],[0.49636387],[1.85208303]
64,[1.82650053],[0.57630533],[1.68236038]
65,[2.16950091],[0.54631654],[1.73405013]
66,[2.30095247],[0.4864024],[1.89037372]
67,[1.97309832],[0.53129557],[1.63090882]
68,[2.13678129],[0.40600763],[2.01484055]
69,[1.65498475],[0.61400485],[1.9629966]
70,[2.50609395],[0.38356209],[1.51145589]
71,[2.17536523],[0.49051428],[1.88414385]
72,[2.64664875],[0.39028681],[1.85696229]
73,[2.39430026],[0.43829985],[2.03079419]
74,[2.84776494],[0.13716706],[2.0463705]
75,[2.3602303],[0.38244112],[1.87051821]
76,[2.73972073],[0.2478648],[2.00402175]
77,[2.75774213],[0.38480009],[2.29692541]
78,[3.1929497],[0.28066383],[2.26478102]
79,[2.55941929],[0.45420985],[2.01311037]
80,[1.33866667],[0.7274383],[2.34762898]
81,[2.31525485],[0.58593379],[1.83363496]
82,[2.5620356],[0.49125313],[2.35503927]
83,[2.93638329],[0.4555897],[2.22054133]
84,[2.49177804],[0.5654138],[2.59659023]
85,[3.18807075],[0.35382138],[2.53277569]
86,[2.78776698],[0.4608366],[2.39799109]
87,[3.35981569],[0.41135244],[2.6667048]
88,[3.5798265],[0.41906936],[3.10455356]
89,[2.80850003],[0.44203727],[2.80671037]
90,[2.80293605],[0.46920126],[3.01511101]
91,[2.59795074],[0.51931637],[2.87429811]
92,[1.41585901],[0.84527062],[2.92702705]
93,[1.87269442],[0.78891902],[2.81994581]
94,[2.06464252],[0.6773749],[2.93092277]
95,[2.58805078],[0.66844495],[2.81830202]
