,Mean,Variance,Predictive model
0,[-1737.88371926],[2620.36292115],[-28.27906044]
1,[-607.57349898],[2233.78011758],[-20.0160554]
2,[-2149.81092836],[2666.71696215],[-23.0794671]
3,[-3375.15304586],[4024.13800889],[-169.59027545]
4,[-8654.95114154],[33761.02220662],[-210.17943204]
5,[5073.44420578],[13586.8961951],[-3553.13742292]
6,[2087.40019633],[4811.35854135],[-119.97590225]
7,[1393.60024574],[4196.57379699],[-430.37316021]
8,[-482.08605472],[3564.32118652],[-274.19920615]
9,[-1484.15772041],[3523.01212186],[-230.5562847]
10,[-3726.52959515],[4098.49889798],[-502.39875637]
11,[-22.22124884],[1087.33411516],[-111.71423908]
12,[495.56103245],[1100.97048835],[-191.66720989]
13,[-1101.64393102],[1480.7048311],[-238.94328313]
14,[-495.2503884],[1114.92954432],[-61.83082559]
15,[-742.78559868],[1063.31622332],[-96.78177738]
16,[-238.06922424],[984.72322161],[-517.23804114]
17,[-27.39668319],[700.59989754],[-77.1067444]
18,[-144.68377216],[730.4839503],[-66.76696181]
19,[-104.60344001],[716.91488484],[-109.29972758]
20,[-66.39200121],[670.43713921],[-87.13066737]
21,[-45.02136926],[624.8159343],[-125.56898664]
22,[30.27263146],[571.42845151],[-78.35026403]
23,[-755.03705337],[937.20529814],[-159.06922809]
24,[-24.00380348],[568.61132651],[-68.57396126]
25,[-9.60878438],[554.22276285],[-89.19624649]
26,[-4.77946885],[533.23312019],[-86.57868332]
27,[-26.21114268],[538.122665],[-65.96412034]
28,[-216.13805269],[690.8381793],[-264.54160247]
29,[-20.21830936],[517.78643698],[-73.36171329]
30,[-12.44032208],[493.36652444],[-105.89049803]
31,[-70.34461703],[508.86830517],[-111.84044952]
32,[-12.56771592],[479.85528864],[-129.50207337]
33,[-16.77831676],[473.34162725],[-61.19845204]
34,[-10.84949275],[460.4593042],[-66.12847044]
35,[-45.4776368],[497.87466392],[-111.43980842]
36,[10.53861517],[442.60243508],[-89.48256823]
37,[-39.23520565],[456.00332741],[-102.44638716]
38,[-4.55666209],[436.08638705],[-89.87726458]
39,[-9.81722868],[429.80968526],[-95.01013478]
40,[-153.08122592],[484.23335806],[-139.99618608]
41,[-8.68243805],[419.44834204],[-97.76017979]
42,[-6.52517271],[414.99091943],[-120.65481491]
43,[-9.24998515],[407.87188699],[-69.35894917]
44,[-8.36603803],[404.21282465],[-138.83357592]
45,[-2.42451051],[396.87451721],[-124.36953117]
46,[-3.77647495],[390.96738808],[-99.68026269]
47,[-5.53660812],[388.97466989],[-102.95920206]
48,[-11.31764984],[386.31551235],[-79.12272338]
49,[-10.91340552],[383.1388153],[-94.13152311]
50,[-38.31868366],[391.82125302],[-77.7853793]
51,[5.02363372],[369.93919403],[-155.47349978]
52,[-4.37189975],[368.31169801],[-72.56396501]
53,[-7.08217552],[372.38814897],[-55.58374707]
54,[1.27910349],[359.17356175],[-109.19420567]
55,[9.58928968],[360.64046453],[-130.45774393]
56,[-58.74475716],[382.18661984],[-109.71317625]
57,[-35.44778836],[368.08854053],[-96.61200403]
58,[1.57601475],[345.90326171],[-79.88715521]
59,[-3.01960913],[347.92898288],[-110.86705549]
60,[-7.32209585],[346.16562971],[-65.5596364]
61,[-3.2368655],[341.9867491],[-75.66071272]
62,[-10.75113874],[339.49991394],[-99.86255414]
63,[-3.77474995],[334.00325962],[-102.27552207]
64,[-4.86251601],[333.75729835],[-82.43334779]
65,[8.02097171],[328.4474082],[-84.43110115]
66,[-57.87188816],[348.67334964],[-57.869462]
67,[-1.04421179],[323.09031992],[-57.77176525]
68,[1.86494026],[320.05127253],[-88.39031011]
69,[1.53812013],[316.98526031],[-60.56158456]
70,[-2.41918077],[317.7927799],[-80.95398149]
71,[-9.42479334],[318.66841245],[-62.33481791]
72,[-3.62946338],[313.09433977],[-93.32863154]
73,[-3.99907662],[312.10257782],[-92.52530836]
74,[-2.85763867],[308.26579797],[-50.96670656]
75,[-15.64934416],[311.61475681],[-98.20811744]
76,[-7.40867245],[306.77877749],[-64.82622007]
77,[0.43635501],[300.08197414],[-64.7284398]
78,[-3.27831986],[299.94296363],[-66.88621905]
79,[-6.97365316],[299.78689429],[-43.07885196]
80,[-1.34199471],[295.60311874],[-47.53644234]
81,[2.64531242],[291.98338643],[-47.7468325]
82,[-7.85099424],[293.46236334],[-64.11684253]
83,[-34.07410762],[302.9315099],[-66.16848456]
84,[-2.98922113],[288.29857918],[-45.29140235]
85,[-46.26694286],[304.25157754],[-75.2666038]
86,[-7.67846559],[287.90084248],[-54.28297362]
87,[11.13420812],[287.6133497],[-68.05401176]
88,[-2.2695987],[282.12040495],[-66.02210195]
89,[4.75877299],[278.14390364],[-51.16836755]
90,[-6.65877002],[281.36520152],[-67.18118175]
91,[-3.77087607],[277.53934737],[-56.870765]
92,[-1.73390212],[275.55817876],[-41.05452288]
93,[-0.3986877],[273.49212917],[-63.51994886]
94,[-10.48230989],[276.83260447],[-47.8339642]
95,[3.60022666],[270.11116639],[-72.38496913]
