,Mean,Variance,Predictive model
0,[-16.02205654],[20.11237884],[-0.0207163]
1,[-16.47018326],[18.68133816],[-0.13155198]
2,[-6.67533851],[14.80049195],[-0.05868882]
3,[-13.1932016],[14.70350611],[-0.35413957]
4,[-9.14898688],[27.15795111],[-0.30236514]
5,[-13.44797776],[26.25258056],[-0.07518731]
6,[-20.11661592],[25.37724451],[-0.71190839]
7,[-23.13118808],[24.6202659],[-0.57929819]
8,[0.32809126],[14.90876861],[-0.23381153]
9,[-18.58471648],[26.13976458],[-0.31122149]
10,[-17.05655351],[19.62551992],[-1.98010219]
11,[-7.31515426],[19.714917],[-0.35042461]
12,[-18.9431444],[25.34386115],[-9.07031202]
13,[-1.19000677],[23.70822452],[-4.34564914]
14,[-15.1179998],[23.53899572],[-2.76937755]
15,[-7.02226997],[18.49540634],[-2.67016137]
16,[0.32168413],[13.7689261],[-0.66746772]
17,[-34.29701847],[29.47744612],[-9.20657539]
18,[-16.87274233],[21.25788079],[-5.12685994]
19,[6.08850645],[8.90350631],[-1.77862663]
20,[-7.4763552],[13.79361565],[-0.83846329]
21,[0.60442185],[9.51186522],[-0.9763701]
22,[-13.31706678],[14.10830987],[-5.10093599]
23,[1.26520991],[5.20457907],[-1.00401508]
24,[-0.68400094],[5.80304324],[-1.21487007]
25,[1.65658728],[4.08521655],[-0.88954575]
26,[-4.20067426],[6.50548953],[-1.95483806]
27,[0.09213548],[4.12594126],[-1.18885899]
28,[-1.29444598],[4.117278],[-1.03027076]
29,[-5.27267524],[5.35788431],[-1.06639929]
30,[-1.51344173],[3.78197454],[-0.92608598]
31,[1.71074073],[2.09893066],[-1.45157114]
32,[-1.13825455],[3.55453753],[-1.63073669]
33,[-2.86094044],[3.64768734],[-1.01628142]
34,[2.2316798],[1.38872549],[-1.26667645]
35,[-0.07474958],[2.95861692],[-1.13955717]
36,[-2.86700883],[3.28530209],[-1.24319228]
37,[-0.7322097],[2.268424],[-1.30350149]
38,[0.36815895],[1.82890917],[-1.28829836]
39,[0.89423906],[1.34745684],[-1.23739585]
40,[-5.09498105],[3.77952862],[-1.52542214]
41,[-0.96609644],[2.03876701],[-1.41990652]
42,[1.26702001],[0.99383581],[-1.33589035]
43,[-1.30358146],[2.22865383],[-1.59698291]
44,[-4.63458865],[4.08170982],[-1.59859682]
45,[-2.83357197],[3.10329105],[-1.52490314]
46,[-2.21629715],[2.81055746],[-1.40843516]
47,[-5.43883494],[5.70828609],[-2.1100143]
48,[-6.57837953],[5.15679311],[-1.53955731]
49,[-1.42106918],[3.00098716],[-1.84210212]
50,[-1.01110969],[2.75817112],[-1.95045027]
51,[-3.28787721],[3.26002124],[-1.33237685]
52,[-2.61637383],[2.71955309],[-1.5351129]
53,[-0.17429125],[1.82118561],[-1.64974637]
54,[-2.18008015],[2.4314081],[-1.56295002]
55,[-0.98559215],[1.99176858],[-1.50473444]
56,[-0.46207272],[1.6923497],[-1.46315522]
57,[0.6316282],[1.08408856],[-1.33593604]
58,[0.95273599],[0.91846504],[-1.16795492]
59,[-0.59780586],[1.3077016],[-1.16014318]
60,[0.62855805],[0.86040617],[-1.36502231]
61,[-0.3657483],[1.16798068],[-1.14827758]
62,[0.36506272],[0.90949949],[-1.18943625]
63,[0.96851091],[0.62103451],[-1.0264231]
64,[-1.62296426],[1.6063941],[-1.06985867]
65,[-0.82126478],[1.28264999],[-1.18267565]
66,[0.6821831],[0.65710645],[-1.12694764]
67,[-0.60124043],[1.09927241],[-1.28474957]
68,[0.22968186],[0.72982121],[-1.30902554]
69,[0.7877147],[0.46928296],[-1.05570746]
70,[-0.66374491],[1.03435995],[-1.03131063]
71,[0.50992741],[0.5545968],[-1.00647011]
72,[0.65360243],[0.47955506],[-0.95457043]
73,[0.28771339],[0.55803243],[-1.08311181]
74,[1.03659345],[0.26726313],[-0.97385945]
75,[0.51317183],[0.44937079],[-0.75690654]
76,[0.37207784],[0.49754331],[-0.74641362]
77,[0.06002268],[0.5991569],[-0.90836887]
78,[-0.94413001],[0.9807097],[-0.93509737]
79,[-0.02585412],[0.61589399],[-0.95997308]
80,[1.02162753],[0.20162964],[-0.81377154]
81,[0.18967976],[0.50349748],[-1.05174122]
82,[0.96240835],[0.17534899],[-0.6620172]
83,[0.92423122],[0.19169546],[-0.82104542]
84,[0.92746418],[0.1783451],[-0.66852744]
85,[0.98989707],[0.1492241],[-0.64344974]
86,[0.98707149],[0.13341303],[-0.75384521]
87,[0.9991184],[0.12814029],[-0.50940705]
88,[1.01976827],[0.11282626],[-0.76605736]
89,[0.94197683],[0.13979243],[-0.60304164]
90,[1.01772703],[0.10584996],[-0.54474577]
91,[0.99692894],[0.11290768],[-0.52143976]
92,[1.01046075],[0.10562252],[-0.63104949]
93,[1.02927217],[0.09872753],[-0.40756391]
94,[1.01035438],[0.10229066],[-0.49334554]
95,[1.02599205],[0.09511786],[-0.42598982]
