,Mean,Variance,Predictive model
0,[28.39310976],[48.73187686],[0.58925209]
1,[52.92166878],[44.7661693],[-0.63928213]
2,[65.42444307],[25.90350395],[1.336086]
3,[48.58854774],[41.42446124],[1.20012443]
4,[74.85691225],[18.68994654],[2.23247012]
5,[27.48140608],[56.19812533],[1.61581673]
6,[24.60563257],[55.24904044],[2.30150336]
7,[48.60809983],[29.62837596],[1.51096588]
8,[68.49108072],[18.75089463],[3.4329506]
9,[68.64493089],[19.50554235],[-0.49460165]
10,[41.85721385],[53.2678059],[4.18896836]
11,[18.37345716],[59.7467708],[4.50802418]
12,[44.36349947],[47.39531906],[4.4382319]
13,[29.83018833],[55.73273267],[4.30798222]
14,[48.42496385],[33.891407],[8.28182265]
15,[15.70707551],[51.89925627],[-14.14991555]
16,[11.36563889],[53.22590467],[4.38475931]
17,[19.31682735],[52.45724399],[-9.76261313]
18,[0.75689729],[58.08742166],[-17.91674382]
19,[39.62545723],[37.0662736],[12.37322405]
20,[65.54116225],[23.69973907],[13.92826667]
21,[27.56880699],[40.21211807],[8.57351683]
22,[27.14994945],[37.14386123],[7.85890408]
23,[26.12564078],[32.37948723],[16.82564269]
24,[72.61241904],[16.17132631],[15.971845]
25,[48.06625215],[21.87632087],[17.80738113]
26,[67.07847796],[11.20072604],[26.8904383]
27,[31.57391305],[27.79578242],[16.80446642]
28,[71.82474341],[8.87991849],[29.92010772]
29,[14.41597391],[34.16063427],[16.17378082]
30,[60.25396884],[12.10054578],[25.93290478]
31,[78.64341142],[1.62073406],[36.26632576]
32,[76.39080011],[2.00735043],[38.99231721]
33,[78.34754015],[0.70786014],[41.39432016]
34,[3.24870536],[37.76325729],[-0.]
35,[70.88739957],[7.00314469],[0.]
36,[49.98532272],[11.98118937],[0.]
37,[72.89958432],[2.95284064],[0.]
38,[77.9778367],[0.66312975],[0.]
39,[77.89363782],[0.563124],[0.]
40,[78.22181527],[0.30345103],[0.]
41,[78.27423828],[0.28630707],[0.]
42,[78.18602578],[0.28053265],[0.]
43,[78.25793744],[0.27246721],[0.]
44,[78.28660625],[0.26493264],[0.]
45,[78.24937492],[0.26650692],[0.]
46,[78.14201077],[0.28012908],[0.]
47,[78.30175158],[0.24787935],[0.]
48,[78.31915256],[0.24035684],[0.]
49,[78.23512384],[0.25503932],[0.]
50,[78.29189664],[0.24038067],[0.]
51,[78.22269375],[0.24485177],[0.]
52,[78.28671019],[0.23623855],[0.]
53,[78.31997356],[0.23047909],[0.]
54,[78.29615944],[0.23511406],[0.]
55,[78.24557859],[0.23966639],[0.]
56,[78.27421247],[0.23303821],[0.]
57,[78.32455854],[0.22417344],[0.]
58,[78.32649364],[0.22284303],[0.]
59,[78.28024632],[0.22606053],[0.]
60,[78.31525442],[0.22205931],[0.]
61,[78.2878464],[0.22371963],[0.]
62,[78.31077443],[0.22005917],[0.]
63,[78.3256199],[0.21629443],[0.]
64,[78.31833683],[0.21612458],[0.]
65,[78.22598826],[0.23070037],[0.]
66,[78.32084787],[0.21350643],[0.]
67,[78.30576592],[0.21472815],[0.]
68,[78.22955799],[0.22140245],[0.]
69,[78.32264009],[0.21031099],[0.]
70,[78.25248088],[0.21481325],[0.]
71,[78.32478581],[0.2076952],[0.]
72,[78.28473934],[0.2122254],[0.]
73,[78.28565795],[0.20863486],[0.]
74,[78.32589875],[0.20517264],[0.]
75,[78.29289211],[0.20797504],[0.]
76,[78.28321648],[0.20837582],[0.]
77,[78.08216743],[0.2547253],[0.]
78,[78.27209241],[0.20695466],[0.]
79,[78.31798945],[0.20135535],[0.]
80,[78.25787793],[0.20654592],[0.]
81,[78.20901395],[0.20776269],[0.]
82,[78.27997303],[0.20216865],[0.]
83,[78.31296093],[0.19809813],[0.]
84,[78.30298763],[0.19734915],[0.]
85,[78.23115221],[0.20138571],[0.]
86,[78.32178929],[0.1946496],[0.]
87,[78.30204281],[0.19505664],[0.]
88,[78.22905731],[0.19948837],[0.]
89,[78.28885765],[0.19417932],[0.]
90,[78.07025421],[0.21048071],[0.]
91,[78.32003567],[0.19176415],[0.]
92,[78.24422685],[0.19944987],[0.]
93,[78.26179516],[0.19585924],[0.]
94,[78.32610875],[0.1883257],[0.]
95,[78.21914696],[0.19933316],[0.]
