,Mean,Variance,Predictive model
0,[9.92174799],[0.72997863],[0.25080259]
1,[7.30063306],[1.71579086],[0.87418434]
2,[6.53030875],[1.43152431],[9.67241547]
3,[7.34929112],[0.90622807],[193.11943042]
4,[9.32901199],[1.01860831],[0.4461705]
5,[9.03051448],[1.1260243],[0.34970643]
6,[6.72495922],[2.06306809],[0.48988085]
7,[9.42538006],[0.93369194],[0.53751324]
8,[7.76457677],[1.72007059],[0.67224186]
9,[8.90887253],[1.53150236],[0.70001106]
10,[9.80816227],[1.59636063],[0.92816568]
11,[9.83362519],[1.43001601],[0.91974293]
12,[9.63235442],[1.7043975],[1.108839]
13,[9.60547429],[1.70524362],[0.98530976]
14,[10.31438637],[1.48689728],[1.494589]
15,[7.92276285],[2.13096627],[1.33995114]
16,[10.46883085],[0.91477447],[1.79001219]
17,[10.22636],[1.20904408],[1.94234882]
18,[7.068002],[2.10415856],[1.93818986]
19,[7.4579737],[2.05807392],[2.05759465]
20,[8.19523855],[1.77138689],[2.10810164]
21,[7.82640726],[1.87217596],[2.12578905]
22,[11.09321151],[0.50068841],[2.93505472]
23,[9.97877626],[1.23157046],[3.09328184]
24,[12.78776867],[0.88645102],[2.94732215]
25,[12.19679774],[1.21554839],[3.35101733]
26,[11.33837841],[1.07300001],[3.79348126]
27,[11.57083305],[1.15997574],[4.07252069]
28,[11.62809014],[1.15568614],[4.61657921]
29,[8.21413123],[2.13060646],[3.97217586]
30,[11.86070015],[1.02785017],[4.69570645]
31,[12.564361],[0.59341648],[5.7358946]
32,[7.93052154],[2.0714931],[4.83077841]
33,[11.6819236],[0.90013118],[5.96108447]
34,[8.15256357],[1.67231792],[6.31998911]
35,[9.24396549],[1.27215778],[6.41517304]
36,[11.98092745],[0.62609988],[7.08608474]
37,[11.78854017],[0.9881447],[7.14593501]
38,[12.57678224],[0.83854135],[7.77687397]
39,[12.0074397],[0.55985321],[9.11907855]
40,[11.97323165],[0.62451859],[9.35244638]
41,[7.97631119],[2.19523595],[8.54325227]
42,[12.24873962],[0.3215788],[10.36031886]
43,[11.98161483],[0.84483296],[10.5878705]
44,[12.79440318],[0.09730922],[10.61168794]
45,[12.83470942],[0.86143386],[10.41907584]
46,[13.11492028],[0.50404822],[10.53493743]
47,[12.59969562],[0.90342955],[10.85068269]
48,[13.8390698],[0.06589156],[11.39222468]
49,[12.98902472],[0.88449429],[11.3012679]
50,[13.98515005],[0.12958845],[11.43562102]
51,[9.65825151],[1.94837107],[11.23645565]
52,[13.97242972],[0.05785904],[11.58891869]
53,[12.07327842],[0.73187367],[11.4392586]
54,[14.00778885],[0.05388138],[11.62088073]
55,[11.78863503],[2.11412485],[11.55215273]
56,[10.11016691],[2.56747354],[12.11482668]
57,[9.49355386],[2.71735313],[12.03748401]
58,[9.51352096],[2.72211971],[0.]
59,[9.43794523],[2.7524169],[0.]
60,[9.34955026],[2.85172562],[0.]
61,[9.28955827],[2.87857604],[0.]
62,[9.39438989],[2.85656788],[0.]
63,[8.88298576],[2.90561238],[0.]
64,[8.84386476],[2.89266192],[0.]
65,[8.66433117],[2.91374686],[0.]
66,[8.52578998],[2.96320525],[0.]
67,[8.46348951],[2.95657263],[0.]
68,[8.23866052],[2.92743085],[0.]
69,[8.12040212],[3.01847972],[0.]
70,[8.05615441],[2.99514],[0.]
71,[8.00039149],[2.99885772],[0.]
72,[8.3070579],[2.81538852],[0.]
73,[12.47908956],[1.15377697],[0.]
74,[8.31963165],[2.88834782],[0.]
75,[12.5111025],[1.09322897],[0.]
76,[8.83106992],[3.00139288],[0.]
77,[8.76351259],[3.0285734],[0.]
78,[8.72367012],[3.03389609],[0.]
79,[8.72109007],[3.01258998],[0.]
80,[7.92301842],[2.9872134],[0.]
81,[7.70550668],[2.94929994],[0.]
82,[7.69200014],[2.98442023],[0.]
83,[8.49071206],[2.57606732],[0.]
84,[7.75182297],[2.86376173],[0.]
85,[7.58898475],[2.8746588],[0.]
86,[7.47514049],[2.90984472],[0.]
87,[7.79088846],[2.72200252],[0.]
88,[7.26496483],[2.93612532],[0.]
89,[7.36167797],[2.80379203],[0.]
90,[7.39926634],[2.86598805],[0.]
91,[8.72755353],[2.2823407],[0.]
92,[13.93581774],[0.48258868],[0.]
93,[12.44797652],[1.27842439],[0.]
94,[8.51804263],[2.98608331],[0.]
95,[8.48299125],[3.00691448],[0.]
