,Mean,Variance,Predictive model
0,[20.05043574],[26.17601853],[0.15012638]
1,[35.29833359],[15.50365495],[-0.12926451]
2,[35.33393175],[20.68953001],[0.59704711]
3,[44.6253939],[20.4873099],[0.77732394]
4,[44.54020791],[26.5058787],[1.4867181]
5,[47.99451955],[18.53749726],[0.42966773]
6,[18.85815639],[27.93726969],[1.1403141]
7,[14.61728915],[27.25706524],[1.52061404]
8,[38.82973165],[16.00959949],[1.10171272]
9,[42.17014493],[20.28667579],[2.23129711]
10,[63.32763605],[9.67926866],[1.89155737]
11,[58.41209229],[21.47255239],[2.54737738]
12,[46.52621684],[24.79628294],[-0.5520853]
13,[52.70619213],[26.46739737],[2.75678894]
14,[45.31284226],[29.08485414],[5.75151756]
15,[22.66119421],[29.65989727],[2.37006693]
16,[36.4055637],[25.53609253],[1.86909883]
17,[37.67503133],[30.19616926],[0.8479443]
18,[46.71205803],[23.59155346],[8.49787007]
19,[54.48655727],[23.93416474],[-0.80026835]
20,[32.6898992],[27.77429004],[7.03533008]
21,[67.66273533],[16.56072898],[11.66442401]
22,[35.54512396],[25.5475346],[7.99605904]
23,[98.50233225],[22.04287703],[15.9356617]
24,[97.1814375],[19.83423269],[17.90849852]
25,[105.81782934],[21.79232064],[20.57906111]
26,[150.80203686],[26.91020217],[14.52330282]
27,[244.95403062],[29.23980838],[69.38404253]
28,[266.94677618],[29.22179809],[32.24359405]
29,[266.54672255],[23.42828158],[100.91639722]
30,[247.06612296],[27.34952463],[109.84100912]
31,[248.39998659],[23.46580365],[76.7316373]
32,[267.74564267],[10.20192343],[105.12592504]
33,[269.36391293],[20.99035979],[105.22376062]
34,[291.09727302],[33.88681337],[121.66963467]
35,[230.47392153],[48.71051781],[89.08643514]
36,[205.54239187],[34.18129452],[127.91191351]
37,[195.48725105],[51.79835335],[112.86701605]
38,[265.90527061],[34.36878609],[32.49544597]
39,[287.89825953],[32.97428141],[69.88065824]
40,[240.14540569],[36.93944786],[60.02771184]
41,[270.05669717],[18.97914035],[50.17014578]
42,[123.94698231],[55.37567242],[153.26078101]
43,[231.30418291],[39.14724144],[79.79599824]
44,[284.15864904],[33.26017857],[124.45114668]
45,[214.90051333],[31.56135609],[184.68541441]
46,[296.74056347],[32.06766827],[212.18012812]
47,[218.71713729],[38.49677035],[129.3741225]
48,[159.772821],[65.32056168],[94.07349717]
49,[288.10924033],[37.40645865],[169.48090143]
50,[281.58424088],[37.74860431],[161.66752859]
51,[306.72959163],[30.71870436],[130.69334297]
52,[37.33050222],[83.11241237],[124.48645694]
53,[303.37794128],[22.51320559],[209.0990286]
54,[160.4054481],[53.38411434],[111.740602]
55,[226.0125256],[34.83163106],[93.68053781]
56,[211.01399517],[53.91485512],[226.11462418]
57,[231.29780665],[48.55779513],[173.90835749]
58,[227.56903285],[47.68407744],[120.91065762]
59,[202.46575297],[47.18053835],[122.76806369]
60,[296.10667867],[31.94587837],[219.1301132]
61,[274.76153362],[37.21335339],[180.29723349]
62,[149.00108353],[38.50402828],[143.55971471]
63,[344.4758988],[32.06160843],[208.43739279]
64,[320.5906564],[36.52201133],[198.99532362]
65,[321.62031231],[62.91057198],[200.7235904]
66,[132.56139045],[77.25366363],[185.92256062]
67,[158.31074595],[80.28048253],[133.35445946]
68,[330.56074904],[47.93147423],[132.16877431]
69,[320.44015025],[48.55102558],[103.68213305]
70,[317.95378047],[53.71147215],[100.96039053]
71,[167.19727162],[74.85119627],[76.88506067]
72,[288.93365312],[50.30657305],[86.68180468]
73,[206.90308202],[77.34414233],[136.94905549]
74,[266.53022621],[54.48121289],[204.69056356]
75,[80.5630711],[83.56652807],[179.05623697]
76,[311.06508135],[42.31536845],[242.05578541]
77,[276.79058061],[52.09983197],[164.12261148]
78,[278.74156976],[53.36216694],[230.46043622]
79,[221.62032888],[67.3034728],[151.71227338]
80,[201.2382745],[74.02438521],[194.70059012]
81,[256.64771444],[63.77965457],[203.56461718]
82,[321.92188795],[41.49293485],[222.86165971]
83,[245.68220515],[65.92868658],[211.49663169]
84,[160.07677384],[85.9885913],[140.44826973]
85,[180.24311745],[71.42255178],[162.15002026]
86,[115.15282152],[79.90234866],[173.25158363]
87,[63.71600992],[104.14412337],[158.00367796]
88,[100.51073633],[76.07153404],[173.08038385]
89,[70.76241565],[98.10055363],[141.42005874]
90,[140.06422877],[84.72117364],[122.144245]
91,[285.37850801],[47.26830467],[190.59841094]
92,[138.19258751],[81.78611056],[69.55335785]
93,[90.23748142],[74.0196463],[155.5848395]
94,[85.75298293],[99.44742662],[159.87323472]
95,[204.42045422],[60.63401364],[130.88756743]
